id,archetype,age,gender,location,urban_rural,education,income_band,trust_govt,trust_media,trust_academia,trust_local,trust_social_media,trust_influencers,trust_religious_leaders,youtube_usage,whatsapp_usage,newspaper_usage,tv_news_usage,regional_media_exposure,english_media_exposure,political_interest,economic_optimism,traditionalism
1,Retired Government Officer,64,Male,"Kolkata, West Bengal",Urban,Graduate,₹5L-10L,8,5,7,7,2,2,7,4,5,8,9,6,6,8,7,7
2,Small Business Owner,33,Male,"Bangalore, Karnataka",Urban,Secondary,₹5L-10L,5,6,4,9,6,4,6,5,8,6,6,6,4,5,6,6
3,Homemaker,51,Female,"Ahmedabad, Gujarat",Urban,Primary,₹2.5L-5L,5,5,4,8,6,5,6,5,9,5,7,7,4,4,6,6
4,Urban Student,24,Male,"Hyderabad, Telangana",Urban,Undergraduate,₹5L-10L,5,5,8,6,7,7,4,9,7,3,3,4,9,6,7,4
5,Corporate Employee,39,Male,"Gurugram, Haryana",Urban,Graduate,₹10L-20L,5,6,5,5,6,4,4,6,7,5,5,5,8,4,7,5
6,Corporate Employee,37,Female,"Jaipur, Rajasthan",Urban,Postgraduate,₹10L-20L,5,5,6,5,6,5,4,5,6,5,5,5,9,5,6,5
7,Homemaker,65,Female,"Jamshedpur, Jharkhand",Semi-Urban,Higher Secondary,Below ₹2.5L,6,5,4,8,7,5,7,6,9,4,7,8,4,4,5,7
8,Retired Government Officer,70,Female,"Ujjain, Madhya Pradesh",Semi-Urban,Doctorate,₹10L-20L,8,6,7,7,3,2,7,2,5,8,8,5,7,7,6,7
9,Startup Founder,44,Male,Delhi,Urban,Graduate,Above ₹50L,3,4,6,4,7,7,3,7,7,6,4,3,9,6,9,3
10,Retired Government Officer,75,Female,"Tirupati, Andhra Pradesh",Semi-Urban,Graduate,₹10L-20L,8,7,7,8,2,1,7,3,5,8,8,6,7,8,7,7
11,Startup Founder,41,Male,"Bangalore, Karnataka",Urban,Graduate,Above ₹50L,4,4,6,5,7,7,3,8,6,5,4,3,10,4,9,3
12,Startup Founder,42,Female,"Hyderabad, Telangana",Urban,Postgraduate,₹20L-50L,5,4,6,5,7,7,3,7,7,5,4,3,10,5,9,3
13,Homemaker,41,Female,"Bhubaneswar, Odisha",Urban,Higher Secondary,Below ₹2.5L,5,5,4,7,6,5,7,5,9,4,7,7,3,4,5,7
14,Regional Language Aspirant,35,Female,"Aligarh, Uttar Pradesh",Semi-Urban,Graduate,₹5L-10L,6,5,8,6,5,4,6,6,6,7,6,9,3,8,4,6
15,Small Business Owner,57,Female,"Bilaspur, Chhattisgarh",Semi-Urban,Undergraduate,₹5L-10L,5,5,4,8,5,4,6,5,8,6,6,7,4,6,6,6
16,Startup Founder,40,Male,"Pune, Maharashtra",Urban,Graduate,₹20L-50L,4,4,7,5,8,6,3,7,7,5,4,3,10,5,9,4
17,Regional Language Aspirant,32,Other,"Bhagalpur rural, Bihar",Rural,Graduate,Below ₹2.5L,5,4,8,7,5,4,6,6,7,7,6,10,2,8,5,7
18,Startup Founder,33,Female,"Bangalore, Karnataka",Urban,Graduate,₹20L-50L,5,4,6,5,7,6,4,7,6,5,4,3,10,5,9,3
19,Startup Founder,34,Male,"Pune, Maharashtra",Urban,Graduate,₹10L-20L,3,4,5,4,8,6,3,7,7,5,4,4,10,5,9,3
20,Small Business Owner,60,Female,"Jaipur, Rajasthan",Urban,Undergraduate,₹5L-10L,5,6,4,8,5,4,6,5,8,7,6,6,3,5,5,6
21,Small Business Owner,35,Male,"Noida, Uttar Pradesh",Urban,Higher Secondary,₹5L-10L,6,4,4,7,4,4,7,5,7,6,7,8,4,6,7,5
22,Small Business Owner,47,Male,"Surat, Gujarat",Urban,Higher Secondary,₹2.5L-5L,5,5,4,8,5,4,6,5,9,5,6,7,5,5,6,7
23,Corporate Employee,28,Female,"Vadodara, Gujarat",Urban,Postgraduate,₹10L-20L,5,6,6,5,6,5,5,6,7,5,5,6,7,4,6,5
24,Homemaker,65,Female,"Warangal rural, Telangana",Rural,Secondary,Below ₹2.5L,5,5,4,8,6,6,7,4,9,5,7,7,3,4,5,8
25,Small Business Owner,30,Male,"Gurugram, Haryana",Urban,Undergraduate,₹10L-20L,6,5,4,8,4,4,7,5,8,6,6,7,4,5,6,6
26,Rural Farmer,34,Male,"Sangrur district, Punjab",Rural,Illiterate,₹2.5L-5L,5,3,3,7,4,3,7,4,7,4,6,9,2,6,5,9
27,Startup Founder,39,Male,"Mumbai, Maharashtra",Urban,Doctorate,₹10L-20L,4,3,6,4,7,6,3,7,6,5,3,3,10,5,9,3
28,Small Business Owner,34,Male,"Kolkata, West Bengal",Urban,Undergraduate,₹2.5L-5L,5,5,4,8,6,4,6,5,7,6,6,7,4,5,6,6
29,Homemaker,48,Female,"Rajahmundry, Andhra Pradesh",Semi-Urban,Graduate,Below ₹2.5L,5,5,4,8,6,5,7,5,10,4,7,8,3,4,5,8
30,Homemaker,47,Female,"Ahmedabad, Gujarat",Urban,Secondary,₹2.5L-5L,6,5,5,8,6,5,7,5,10,4,8,7,3,6,5,7
31,Homemaker,43,Female,"Gurugram, Haryana",Urban,Undergraduate,₹2.5L-5L,5,6,3,7,6,6,7,6,9,5,7,8,2,5,5,6
32,Rural Farmer,39,Female,"Murshidabad district, West Bengal",Rural,Primary,₹2.5L-5L,5,5,3,8,4,3,7,4,6,4,5,9,3,6,5,8
33,Regional Language Aspirant,33,Female,"Erode, Tamil Nadu",Semi-Urban,Postgraduate,₹2.5L-5L,5,4,8,7,5,4,6,6,7,7,5,9,3,9,5,7
34,Rural Farmer,55,Male,"Sundargarh district, Odisha",Rural,Illiterate,Below ₹2.5L,5,4,3,8,3,3,7,5,6,4,6,8,2,6,5,8
35,Small Business Owner,54,Female,"Erode, Tamil Nadu",Semi-Urban,Higher Secondary,₹5L-10L,5,5,4,9,5,4,5,5,8,6,7,8,4,5,7,6
